id,title_bg,title_en,publisher,url,accessed_at,license_status,license_label
source-focus-budget-2023,Focus News — бюджет на Пловдив за 2023 г.,Focus News — Plovdiv 2023 budget,Focus News,https://www.focus-news.net/novini/regioni/Proektobyudzhetut-na-Plovdiv-za-2023-g-e-655-255-005-leva-13-otiva-za-zaplati-1795125,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-gerdjica-1931-jpg,Gerdjica 1931.jpg,Gerdjica 1931.jpg,Gerdjica 1931.jpg,https://commons.wikimedia.org/wiki/File:Gerdjica_1931.jpg,2026-06-19,open_license,CC BY 4.0
source-gradat-plovdiv-2008-draft-budget,Градът — Община Пловдив с проектобюджет от 218.3 млн. лева,Gradat — Plovdiv Municipality with a BGN 218.3M draft budget,Градът,https://gradat.bg/news/2008/02/16/459862_obshtina_plovdiv_s_proektobjudjet_ot_2183_mln_leva,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-gradat-plovdiv-2010-draft-budget-infrastructure,Градът — инфраструктурата като акцент в проектобюджета на Пловдив за 2010 г.,Gradat — infrastructure as a focus in Plovdiv's 2010 draft budget,Градът,https://gradat.bg/forumgradat/2010/02/08/854044_infrastrukturata_e_osnoven_akcent_v_bjudjetite_na,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-greek-high-school-in-plovdiv-jpg,Greek High School in Plovdiv.jpg,Greek High School in Plovdiv.jpg,Greek High School in Plovdiv.jpg,https://commons.wikimedia.org/wiki/File:Greek_High_School_in_Plovdiv.jpg,2026-06-19,open_license,Public domain
source-international-fair-plovdiv-1892,Международен панаир Пловдив — 1892 г. началото,"International Fair Plovdiv — 1892, the beginning",Международен панаир Пловдив,https://www.fair.bg/uploads/event/form/file/5d15dd4f521c7017390091.pdf,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-journal-of-geophysical-research-paleoseismologic-investigation-of-the-14-april-1,Journal of Geophysical Research — Paleoseismologic investigation of the 14 April 1928 Chirpan earthquake,Journal of Geophysical Research — Paleoseismologic investigation of the 14 April 1928 Chirpan earthquake,Journal of Geophysical Research,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005JB003814,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-krasiv-plovdiv-budni-grazhdani-s-kauza,Красив Пловдив — будни граждани с кауза,Красив Пловдив — будни граждани с кауза,Красив Пловдив,https://krasivplovdiv.bg/News/Home/Details/1,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-marica-budget-2021,Марица — бюджет на Пловдив за 2021 г.,Marica — Plovdiv 2021 budget,Марица,https://www.marica.bg/plovdiv/politika/byudjetat-na-plovdiv-za-2021-g-mestnite-danaci-i-taksi-bez-promqna-izbivat-lipsite-s-po-skapi-uslugi,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-marica-budget-2024,Марица — бюджет на Пловдив за 2024 г.,Marica — Plovdiv 2024 budget,Марица,https://www.marica.bg/plovdiv/gradat/byudjetat-na-plovdiv-pod-indigo-samo-29-mln-leva-rast,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-marica-capital-2024,Марица — капиталова програма на Пловдив за 2024 г.,Marica — Plovdiv 2024 capital programme,Марица,https://www.marica.bg/plovdiv/gradat/byudjet-2024-na-plovdiv-nay-mnogo-pari-za-obrazovanie-nqma-da-se-vdigat-danacite,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-museu-ms-the-unification-of-bulgaria-of-1885,Museu.MS — The Unification of Bulgaria of 1885,Museu.MS — The Unification of Bulgaria of 1885,Museu.MS,https://museu.ms/museum/details/16378/the-unification-of-bulgaria-of-1885,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-newsbg-budget-2022,news.bg — приет бюджет на Пловдив за 2022 г.,news.bg — adopted Plovdiv 2022 budget,news.bg,https://news.bg/politics/prieha-rekorden-byudzhet-na-obshtina-plovdiv-nad-526-mln-lv.html,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-noaa-ncei-1928-bulgaria-earthquake-information,NOAA NCEI — 1928 Bulgaria earthquake information,NOAA NCEI — 1928 Bulgaria earthquake information,NOAA NCEI,https://www.ngdc.noaa.gov/hazel/view/hazards/earthquake/event-more-info/3363,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-obshtina-plovdiv-misiya-lauta-5,Община Пловдив — „Мисия Лаута 5“,Община Пловдив — „Мисия Лаута 5“,Община Пловдив,https://www.plovdiv.bg/20241105-2/,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-obshtinski-savet-plovdiv-reshenie-33-za-byudzhet-2018,"Общински съвет - Пловдив, Решение 33 за бюджет 2018","Общински съвет - Пловдив, Решение 33 за бюджет 2018",Общински съвет,https://plovdiv.bg/obs/%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B0%D1%89%D0%B8-%D0%B0%D0%BA%D1%82%D0%BE%D0%B2%D0%B5/%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-33-7/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-obshtinski-savet-plovdiv-reshenie-o4-za-byudzhet-2014,"Общински съвет - Пловдив, Решение №4 за бюджет 2014","Общински съвет - Пловдив, Решение №4 за бюджет 2014",Общински съвет,https://plovdiv.bg/obs/%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B0%D1%89%D0%B8-%D0%B0%D0%BA%D1%82%D0%BE%D0%B2%D0%B5/%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-4-3/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-openstreetmap,OpenStreetMap,OpenStreetMap,OpenStreetMap,https://www.openstreetmap.org/,2026-06-14,open_license,Open Database License 1.0
source-ottoman-clock-tower-in-plovdiv-on-old-photo-jpg,Ottoman clock tower in Plovdiv on old photo.jpg,Ottoman clock tower in Plovdiv on old photo.jpg,Ottoman clock tower in Plovdiv on old photo.jpg,https://commons.wikimedia.org/wiki/File:Ottoman_clock_tower_in_Plovdiv_on_old_photo.jpg,2026-06-19,open_license,Public domain
source-ottoman-clock-tower-in-plovdiv-on-old-postcard-jpg,Ottoman clock tower in Plovdiv on old postcard.jpg,Ottoman clock tower in Plovdiv on old postcard.jpg,Ottoman clock tower in Plovdiv on old postcard.jpg,https://commons.wikimedia.org/wiki/File:Ottoman_clock_tower_in_Plovdiv_on_old_postcard.jpg,2026-06-19,open_license,Public domain
source-plovdiv-2019-official,Пловдив 2019 — Европейска столица на културата,Plovdiv 2019 — European Capital of Culture,Пловдив 2019,https://plovdiv2019.eu/en,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-2019-opening-of-plovdiv-european-capital-of-culture-2019,Plovdiv 2019 — Opening of Plovdiv European Capital of Culture 2019,Plovdiv 2019 — Opening of Plovdiv European Capital of Culture 2019,Plovdiv 2019,https://plovdiv2019.eu/en/platform/revive/189-culture-meets-people/773-opening-of-plovdiv-european-capital-of-culture-2019,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-blick-vom-zimmer-im-trimontium-58-046-44-jpg,"PLOVDIV, Blick vom Zimmer im Trimontium - 58 - 046.44.jpg","PLOVDIV, Blick vom Zimmer im Trimontium - 58 - 046.44.jpg","PLOVDIV, Blick vom Zimmer im Trimontium",https://commons.wikimedia.org/wiki/File:PLOVDIV%2C_Blick_vom_Zimmer_im_Trimontium_-_58_-_046.44.jpg,2026-06-19,open_license,CC BY-SA 4.0
source-plovdiv-budget-2020,Община Пловдив — бюджет за 2020 г.,Plovdiv Municipality — 2020 budget,Община Пловдив,https://www.plovdiv.bg/slider/%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82-%D0%B7%D0%B0-2020-%D0%B3%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0/,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-budget-2025,Община Пловдив — представяне на Бюджет 2025,Plovdiv Municipality — 2025 budget presentation,Община Пловдив,https://www.plovdiv.bg/presentation-budget-2025/,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-council-2010-budget-execution,"Общински съвет — Пловдив, Решение №58 за отчет на бюджет 2010",Plovdiv Municipal Council Decision 58 on 2010 budget execution,Общински съвет,https://plovdiv.bg/obs/%d0%b4%d0%b5%d0%b9%d1%81%d1%82%d0%b2%d0%b0%d1%89%d0%b8-%d0%b0%d0%ba%d1%82%d0%be%d0%b2%d0%b5/%d1%80%d0%b5%d1%88%d0%b5%d0%bd%d0%b8%d0%b5-58-1/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-council-2010-gifted-children,"Общински съвет — Пловдив, Правилник за подпомагане на деца с изявени дарби",Plovdiv Municipal Council rule for support to gifted children,Общински съвет,https://plovdiv.bg/obs/%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B0%D1%89%D0%B8-%D0%B0%D0%BA%D1%82%D0%BE%D0%B2%D0%B5/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%B4%D0%BF%D0%BE%D0%BC%D0%B0%D0%B3%D0%B0%D0%BD%D0%B5-%D0%BD%D0%B0-%D0%B4%D0%B5%D1%86%D0%B0-%D1%81-%D0%B8%D0%B7%D1%8F/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-council-2011-waste-infrastructure,"Общински съвет — Пловдив, Решение №32 от 28.01.2011 г.",Plovdiv Municipal Council Decision 32 from 28 January 2011,Общински съвет,https://plovdiv.bg/obs/%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B0%D1%89%D0%B8-%D0%B0%D0%BA%D1%82%D0%BE%D0%B2%D0%B5/%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-32-1/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-council-budget-decisions-2011-2018,"Общински съвет — Пловдив, бюджетни решения 2011-2018","Plovdiv Municipal Council budget decisions, 2011-2018",Общински съвет,https://plovdiv.bg/obs/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-current-projects,Община Пловдив — текущи проекти,Plovdiv Municipality — current projects,Община Пловдив,https://www.plovdiv.bg/en/item/projects/current_projects/,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-eu-operational-programmes-2007-2013,"Община Пловдив — изпълнение на проекти по оперативните програми на ЕС, 2007-2013","Plovdiv Municipality implementation of EU operational-programme projects, 2007-2013",Община Пловдив,https://www.plovdiv.bg/%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B8%D0%B7%D0%BF%D1%8A%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5%D1%82%D0%BE-%D0%BD%D0%B0-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-ivan-karastoyanov-jpg,Plovdiv Ivan Karastoyanov.jpg,Plovdiv Ivan Karastoyanov.jpg,Plovdiv Ivan Karastoyanov.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_Ivan_Karastoyanov.jpg,2026-06-19,open_license,Public domain
source-plovdiv-mayor-archive,Община Пловдив — Кметове на Пловдив,Plovdiv Municipality — Mayors of Plovdiv,Община Пловдив,https://www.plovdiv.bg/administration/mayor/mayors-of-plovdiv/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-obs,Общински съвет — Пловдив (решения),Plovdiv Municipal Council (decisions),Общински съвет,http://plovdiv.bg/obs/,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-official-budget-archive,Община Пловдив — архив на общинските бюджети,Plovdiv Municipality — municipal budget archive,Община Пловдив,https://www.plovdiv.bg/item/budget-and-finance/budget/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-old-bridge-and-gerdjika-bridge-1930s-jpg,"Plovdiv, Old Bridge and Gerdjika Bridge, 1930s.jpg","Plovdiv, Old Bridge and Gerdjika Bridge, 1930s.jpg","Plovdiv, Old Bridge and Gerdjika Bridge, 1930s.jpg",https://commons.wikimedia.org/wiki/File:Plovdiv%2C_Old_Bridge_and_Gerdjika_Bridge%2C_1930s.jpg,2026-06-19,open_license,Public domain
source-plovdiv-opr-subsequent-evaluation-2007-2013,Община Пловдив — последваща оценка на Общинския план за развитие 2007-2013,Plovdiv Municipality subsequent evaluation of the Municipal Development Plan 2007-2013,Община Пловдив,https://plovdiv.bg/obs/wp-content/uploads/2014/11/r369-pril.pdf,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv-train-station-around-1880-jpg,Plovdiv Train Station Around 1880.jpg,Plovdiv Train Station Around 1880.jpg,Plovdiv Train Station Around 1880.jpg,https://commons.wikimedia.org/wiki/File:Plovdiv_Train_Station_Around_1880.jpg,2026-06-19,open_license,Public domain
source-plovdiv-waste-infrastructure-final-transfer-2012,"Община Пловдив — 8,4 млн. лв. от МС за инфраструктура",Plovdiv Municipality — BGN 8.4M from the Council of Ministers for infrastructure,Община Пловдив,https://www.plovdiv.bg/%D0%BE%D0%B1%D1%89%D0%B8%D0%BD%D0%B0-%D0%BF%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2-%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B0%D0%B2%D0%B0-%D0%BE%D1%82-%D0%BC%D1%81-84-%D0%BC%D0%BB%D0%BD-%D0%BB%D0%B2-%D0%B7/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv24-budget-2009-adopted,Plovdiv24.bg — Рекорден бюджет - 260 702 383 лева,"Plovdiv24.bg — record budget of BGN 260,702,383",Plovdiv24.bg,https://www.plovdiv24.bg/novini/plovdiv/Rekorden-byudzhet-260-702-383-leva-79980,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv24-dobrovoltsi-se-zaemat-s-renoviraneto-na-spirki,Plovdiv24 — доброволци се заемат с реновирането на спирки,Plovdiv24 — доброволци се заемат с реновирането на спирки,Plovdiv24,https://www.plovdiv24.bg/novini/plovdiv/Dobrovolci-se-zaemat-s-renoviraneto-na-spirki-v-Plovdiv-2933559,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-plovdiv24-tarsyat-se-dobrovoltsi-za-pochistvane-na-11-km-ot-reka-maritsa,Plovdiv24 — търсят се доброволци за почистване на 11 км от река Марица,Plovdiv24 — търсят се доброволци за почистване на 11 км от река Марица,Plovdiv24,https://www.plovdiv24.bg/novini/plovdiv/Tursyat-se-dobrovolci-za-pochistvane-na-11-km-ot-reka-Marica-1429893,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-podtepeto-capital-2026,Под тепето — капиталова програма за 2026 г.,Pod tepeto — 2026 capital programme,Под тепето,https://podtepeto.com/aktualno/obsthina-plovdiv-planira-blizo-87-mln-evro-za-kapitalovi-razhodi-prez-2026-g/,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-podtepeto-plovdiv-1999-month-culture-archive,Под тепето — архив за Европейски месец на културата Пловдив 1999,Pod tepeto archive on Plovdiv 1999 European Month of Culture,Под тепето,https://podtepeto.com/aktualno/arhivite-razkazvat-plovdiv-99-evropejski-mesec-na-kulturata/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
